Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs,TimedOut
digits,1,1,1,1,I,192.445362,False
digits,1,1,1,2,I,186.245169,False
digits,1,1,1,3,I,170.250243,False
digits,1,1,1,1,Q,151.613344,False
digits,1,1,1,2,Q,147.209123,False
digits,1,1,1,3,Q,141.076027,False
digits,1,1,1,1,M,134.617209,False
digits,1,1,1,2,M,135.016098,False
digits,1,1,1,3,M,136.727551,False
digits,1,1,1,1,H,134.905759,False
digits,1,1,1,2,H,131.473392,False
digits,1,1,1,3,H,131.373688,False
digits,1,1,1,1,R,143.842019,False
digits,1,1,1,2,R,137.762059,False
digits,1,1,1,3,R,129.978888,False
digits,1,1,2,1,I,171.155376,False
digits,1,1,2,2,I,170.482438,False
digits,1,1,2,3,I,174.142246,False
digits,1,1,2,1,Q,142.038461,False
digits,1,1,2,2,Q,143.844412,False
digits,1,1,2,3,Q,142.220807,False
digits,1,1,2,1,M,135.012098,False
digits,1,1,2,2,M,135.71447,False
digits,1,1,2,3,M,136.074455,False
digits,1,1,2,1,H,136.32613,False
digits,1,1,2,2,H,132.450046,False
digits,1,1,2,3,H,134.64972,False
digits,1,1,2,1,R,137.860761,False
digits,1,1,2,2,R,123.593128,False
digits,1,1,2,3,R,122.429349,False
digits,1,1,3,1,I,163.348696,False
digits,1,1,3,2,I,155.383341,False
digits,1,1,3,3,I,167.895089,False
digits,1,1,3,1,Q,146.527565,False
digits,1,1,3,2,Q,146.046165,False
digits,1,1,3,3,Q,141.371305,False
digits,1,1,3,1,M,134.52906,False
digits,1,1,3,2,M,134.319337,False
digits,1,1,3,3,M,132.987956,False
digits,1,1,3,1,H,136.499608,False
digits,1,1,3,2,H,136.854678,False
digits,1,1,3,3,H,135.111772,False
digits,1,1,3,1,R,153.629136,False
digits,1,1,3,2,R,139.782833,False
digits,1,1,3,3,R,135.398352,False
digits,1,1,4,1,I,170.155361,False
digits,1,1,4,2,I,164.544743,False
digits,1,1,4,3,I,167.301048,False
digits,1,1,4,1,Q,143.725945,False
digits,1,1,4,2,Q,157.548942,False
digits,1,1,4,3,Q,150.071692,False
digits,1,1,4,1,M,133.073731,False
digits,1,1,4,2,M,131.769427,False
digits,1,1,4,3,M,132.51822,False
digits,1,1,4,1,H,131.250299,False
digits,1,1,4,2,H,130.982934,False
digits,1,1,4,3,H,129.748732,False
digits,1,1,4,1,R,135.293226,False
digits,1,1,4,2,R,131.288335,False
digits,1,1,4,3,R,133.393272,False
digits,1,1,5,1,I,167.194743,False
digits,1,1,5,2,I,168.092858,False
digits,1,1,5,3,I,168.572185,False
digits,1,1,5,1,Q,146.841123,False
digits,1,1,5,2,Q,146.194793,False
digits,1,1,5,3,Q,152.981924,False
digits,1,1,5,1,M,140.397525,False
digits,1,1,5,2,M,129.506246,False
digits,1,1,5,3,M,171.683333,False
digits,1,1,5,1,H,135.14488,False
digits,1,1,5,2,H,136.767631,False
digits,1,1,5,3,H,134.362644,False
digits,1,1,5,1,R,154.03851,False
digits,1,1,5,2,R,137.6163,False
digits,1,1,5,3,R,148.183095,False
digits,1,1,6,1,I,170.341161,False
digits,1,1,6,2,I,165.219855,False
digits,1,1,6,3,I,168.087271,False
digits,1,1,6,1,Q,143.390322,False
digits,1,1,6,2,Q,142.140615,False
digits,1,1,6,3,Q,142.189435,False
digits,1,1,6,1,M,133.129178,False
digits,1,1,6,2,M,144.300189,False
digits,1,1,6,3,M,141.079307,False
digits,1,1,6,1,H,135.983086,False
digits,1,1,6,2,H,130.90842,False
digits,1,1,6,3,H,135.767515,False
digits,1,1,6,1,R,132.745489,False
digits,1,1,6,2,R,135.000296,False
digits,1,1,6,3,R,134.547523,False
digits,1,1,7,1,I,168.392077,False
digits,1,1,7,2,I,170.591073,False
digits,1,1,7,3,I,179.774318,False
digits,1,1,7,1,Q,154.804484,False
digits,1,1,7,2,Q,143.007268,False
digits,1,1,7,3,Q,143.678366,False
digits,1,1,7,1,M,134.66136,False
digits,1,1,7,2,M,147.720993,False
digits,1,1,7,3,M,138.732889,False
digits,1,1,7,1,H,144.438519,False
digits,1,1,7,2,H,150.428636,False
digits,1,1,7,3,H,135.905005,False
digits,1,1,7,1,R,138.402411,False
digits,1,1,7,2,R,135.405318,False
digits,1,1,7,3,R,140.471883,False
digits,1,1,8,1,I,167.557707,False
digits,1,1,8,2,I,168.849457,False
digits,1,1,8,3,I,169.079354,False
digits,1,1,8,1,Q,146.623715,False
digits,1,1,8,2,Q,158.880753,False
digits,1,1,8,3,Q,144.508163,False
digits,1,1,8,1,M,132.570844,False
digits,1,1,8,2,M,134.74747,False
digits,1,1,8,3,M,133.914877,False
digits,1,1,8,1,H,129.504887,False
digits,1,1,8,2,H,135.878176,False
digits,1,1,8,3,H,155.77203,False
digits,1,1,8,1,R,136.270302,False
digits,1,1,8,2,R,135.636889,False
digits,1,1,8,3,R,134.948459,False
digits,2,2,1,1,I,187.650824,False
digits,2,2,1,2,I,169.878228,False
digits,2,2,1,3,I,171.214915,False
digits,2,2,1,1,Q,131.452651,False
digits,2,2,1,2,Q,134.830262,False
digits,2,2,1,3,Q,132.888574,False
digits,2,2,1,1,M,137.020465,False
digits,2,2,1,2,M,135.284543,False
digits,2,2,1,3,M,135.776026,False
digits,2,2,1,1,H,135.929652,False
digits,2,2,1,2,H,154.177952,False
digits,2,2,1,3,H,136.136645,False
digits,2,2,1,1,R,157.504037,False
digits,2,2,1,2,R,145.374501,False
digits,2,2,1,3,R,136.9125,False
digits,2,2,2,1,I,175.556365,False
digits,2,2,2,2,I,171.027393,False
digits,2,2,2,3,I,170.937264,False
digits,2,2,2,1,Q,163.439559,False
digits,2,2,2,2,Q,159.000616,False
digits,2,2,2,3,Q,133.768075,False
digits,2,2,2,1,M,126.450991,False
digits,2,2,2,2,M,131.833502,False
digits,2,2,2,3,M,135.503866,False
digits,2,2,2,1,H,134.274947,False
digits,2,2,2,2,H,137.568241,False
digits,2,2,2,3,H,135.196225,False
digits,2,2,2,1,R,138.65431,False
digits,2,2,2,2,R,156.449892,False
digits,2,2,2,3,R,137.544439,False
digits,2,2,3,1,I,173.60005,False
digits,2,2,3,2,I,188.152252,False
digits,2,2,3,3,I,171.890413,False
digits,2,2,3,1,Q,141.215108,False
digits,2,2,3,2,Q,138.347676,False
digits,2,2,3,3,Q,136.517354,False
digits,2,2,3,1,M,138.336457,False
digits,2,2,3,2,M,139.199948,False
digits,2,2,3,3,M,136.512144,False
digits,2,2,3,1,H,123.901238,False
digits,2,2,3,2,H,140.160922,False
digits,2,2,3,3,H,139.942618,False
digits,2,2,3,1,R,137.698971,False
digits,2,2,3,2,R,135.6067,False
digits,2,2,3,3,R,134.559197,False
digits,2,2,4,1,I,174.312674,False
digits,2,2,4,2,I,270.645505,False
digits,2,2,4,3,I,183.179835,False
digits,2,2,4,1,Q,142.75412,False
digits,2,2,4,2,Q,151.895254,False
digits,2,2,4,3,Q,130.389476,False
digits,2,2,4,1,M,135.389265,False
digits,2,2,4,2,M,140.055996,False
digits,2,2,4,3,M,145.586079,False
digits,2,2,4,1,H,153.322034,False
digits,2,2,4,2,H,139.680852,False
digits,2,2,4,3,H,137.909286,False
digits,2,2,4,1,R,154.103952,False
digits,2,2,4,2,R,147.098953,False
digits,2,2,4,3,R,136.212568,False
digits,2,2,5,1,I,186.707289,False
digits,2,2,5,2,I,194.444781,False
digits,2,2,5,3,I,190.580593,False
digits,2,2,5,1,Q,137.237608,False
digits,2,2,5,2,Q,137.771558,False
digits,2,2,5,3,Q,163.67336,False
digits,2,2,5,1,M,150.194065,False
digits,2,2,5,2,M,142.982914,False
digits,2,2,5,3,M,133.061372,False
digits,2,2,5,1,H,148.394283,False
digits,2,2,5,2,H,151.651151,False
digits,2,2,5,3,H,137.713052,False
digits,2,2,5,1,R,141.980718,False
digits,2,2,5,2,R,167.047433,False
digits,2,2,5,3,R,135.415,False
digits,2,2,6,1,I,184.478447,False
digits,2,2,6,2,I,177.178729,False
digits,2,2,6,3,I,179.465536,False
digits,2,2,6,1,Q,139.410248,False
digits,2,2,6,2,Q,153.292296,False
digits,2,2,6,3,Q,154.716393,False
digits,2,2,6,1,M,130.303035,False
digits,2,2,6,2,M,148.561637,False
digits,2,2,6,3,M,150.888231,False
digits,2,2,6,1,H,136.906667,False
digits,2,2,6,2,H,150.339207,False
digits,2,2,6,3,H,134.054528,False
digits,2,2,6,1,R,154.30959,False
digits,2,2,6,2,R,139.679098,False
digits,2,2,6,3,R,150.306746,False
digits,2,2,7,1,I,202.253342,False
digits,2,2,7,2,I,187.35767,False
digits,2,2,7,3,I,182.056001,False
digits,2,2,7,1,Q,166.082647,False
digits,2,2,7,2,Q,152.648551,False
digits,2,2,7,3,Q,151.599783,False
digits,2,2,7,1,M,133.985212,False
digits,2,2,7,2,M,159.271504,False
digits,2,2,7,3,M,153.328116,False
digits,2,2,7,1,H,151.298841,False
digits,2,2,7,2,H,159.127645,False
digits,2,2,7,3,H,154.548758,False
digits,2,2,7,1,R,154.351462,False
digits,2,2,7,2,R,155.287507,False
digits,2,2,7,3,R,171.279849,False
digits,2,2,8,1,I,193.884625,False
digits,2,2,8,2,I,206.859837,False
digits,2,2,8,3,I,191.053171,False
digits,2,2,8,1,Q,140.578757,False
digits,2,2,8,2,Q,149.094629,False
digits,2,2,8,3,Q,170.194532,False
digits,2,2,8,1,M,154.936491,False
digits,2,2,8,2,M,139.108672,False
digits,2,2,8,3,M,159.004807,False
digits,2,2,8,1,H,236.538613,False
digits,2,2,8,2,H,135.141227,False
digits,2,2,8,3,H,123.886514,False
digits,2,2,8,1,R,138.964489,False
digits,2,2,8,2,R,149.746613,False
digits,2,2,8,3,R,150.408052,False
digits,3,3,1,1,I,170.613171,False
digits,3,3,1,2,I,193.52472,False
digits,3,3,1,3,I,173.003909,False
digits,3,3,1,1,Q,137.380958,False
digits,3,3,1,2,Q,138.947451,False
digits,3,3,1,3,Q,138.700843,False
digits,3,3,1,1,M,142.08759,False
digits,3,3,1,2,M,143.045484,False
digits,3,3,1,3,M,137.085791,False
digits,3,3,1,1,H,145.001448,False
digits,3,3,1,2,H,153.055505,False
digits,3,3,1,3,H,139.05108,False
digits,3,3,1,1,R,146.931943,False
digits,3,3,1,2,R,141.113791,False
digits,3,3,1,3,R,139.416704,False
digits,3,3,2,1,I,168.842222,False
digits,3,3,2,2,I,176.531752,False
digits,3,3,2,3,I,167.344677,False
digits,3,3,2,1,Q,134.811463,False
digits,3,3,2,2,Q,132.69701,False
digits,3,3,2,3,Q,128.974359,False
digits,3,3,2,1,M,134.336768,False
digits,3,3,2,2,M,133.120863,False
digits,3,3,2,3,M,136.150256,False
digits,3,3,2,1,H,121.979269,False
digits,3,3,2,2,H,123.189243,False
digits,3,3,2,3,H,135.969419,False
digits,3,3,2,1,R,139.588712,False
digits,3,3,2,2,R,136.102517,False
digits,3,3,2,3,R,139.256783,False
digits,3,3,3,1,I,169.456462,False
digits,3,3,3,2,I,167.12589,False
digits,3,3,3,3,I,170.69083,False
digits,3,3,3,1,Q,129.419048,False
digits,3,3,3,2,Q,132.83638,False
digits,3,3,3,3,Q,132.422443,False
digits,3,3,3,1,M,148.863832,False
digits,3,3,3,2,M,155.501378,False
digits,3,3,3,3,M,136.405392,False
