Scenario,Parameter,Algorithm,Samples,MeanMs,StdMs,HalfWidthMs,PowerSatisfied,ActualParameterMean
digits,1,I,8,170.212549,6.083968,4.215898,True,1.0
digits,1,Q,8,146.605615,3.076147,2.131622,True,1.0
digits,1,M,8,137.283493,4.868119,3.373372,True,1.0
digits,1,H,8,135.937008,4.18911,2.902852,True,1.0
digits,1,R,8,136.97991,5.786896,4.01004,True,1.0
digits,2,I,8,186.848572,12.445266,8.623971,True,2.0
digits,2,Q,8,146.366629,8.057992,5.583801,True,2.0
digits,2,M,8,141.357306,6.505237,4.507817,True,2.0
digits,2,H,8,145.325046,10.227842,7.087403,True,2.0
digits,2,R,8,146.937357,6.668422,4.620896,True,2.0
digits,3,I,12,174.453167,6.015349,3.403442,True,3.0
digits,3,Q,12,137.313472,6.536067,3.69806,True,3.0
digits,3,M,12,145.931377,12.12687,6.861296,True,3.0
digits,3,H,12,142.534952,8.70526,4.925374,True,3.0
digits,3,R,12,142.927076,6.900064,3.904007,True,3.0
digits,4,I,13,175.293689,8.849298,4.810445,True,4.0
digits,4,Q,13,146.186867,12.194641,6.628961,True,4.0
digits,4,M,13,148.513057,6.750777,3.669697,True,4.0
digits,4,H,13,144.282617,6.589158,3.581841,True,4.0
digits,4,R,13,152.411848,13.995335,7.607811,True,4.0
digits,5,I,8,178.434452,6.023208,4.173793,True,5.0
digits,5,Q,8,141.660767,4.49541,3.115103,True,5.0
digits,5,M,8,143.735024,4.373584,3.030683,True,5.0
digits,5,H,8,144.98188,6.004893,4.161102,True,5.0
digits,5,R,8,146.319374,2.996472,2.076411,True,5.0
digits,6,I,8,184.644567,8.847639,6.130989,True,6.0
digits,6,Q,8,148.423101,5.06908,3.512628,True,6.0
digits,6,M,8,147.990146,6.526809,4.522765,True,6.0
digits,6,H,8,149.228366,4.085925,2.831349,True,6.0
digits,6,R,8,155.964979,11.204062,7.763876,True,6.0
digits,7,I,9,176.474272,13.265004,8.66631,True,7.0
digits,7,Q,9,137.939506,4.23763,2.768534,True,7.0
digits,7,M,9,140.816978,4.997698,3.265103,True,7.0
digits,7,H,9,141.42689,7.554156,4.935291,True,7.0
digits,7,R,9,148.295419,4.113711,2.687575,True,7.0
