Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs
digits,1,1,1,1,I,117.68789
digits,1,1,1,2,I,116.852735
digits,1,1,1,3,I,137.156054
digits,1,1,1,1,Q,113.181043
digits,1,1,1,2,Q,111.520533
digits,1,1,1,3,Q,113.156868
digits,1,1,1,1,M,116.984171
digits,1,1,1,2,M,124.041826
digits,1,1,1,3,M,108.576941
digits,1,1,1,1,H,110.297659
digits,1,1,1,2,H,112.185011
digits,1,1,1,3,H,110.136788
digits,1,1,1,1,R,109.450086
digits,1,1,1,2,R,113.330862
digits,1,1,1,3,R,118.804101
digits,1,1,2,1,I,119.460495
digits,1,1,2,2,I,117.337518
digits,1,1,2,3,I,123.113239
digits,1,1,2,1,Q,117.135451
digits,1,1,2,2,Q,112.624384
digits,1,1,2,3,Q,107.577005
digits,1,1,2,1,M,108.861199
digits,1,1,2,2,M,114.989636
digits,1,1,2,3,M,122.312134
digits,1,1,2,1,H,114.971433
digits,1,1,2,2,H,113.566806
digits,1,1,2,3,H,107.497361
digits,1,1,2,1,R,106.34952
digits,1,1,2,2,R,113.213562
digits,1,1,2,3,R,110.130728
digits,1,1,3,1,I,114.913003
digits,1,1,3,2,I,120.37333
digits,1,1,3,3,I,117.97592
digits,1,1,3,1,Q,114.421564
digits,1,1,3,2,Q,114.14994
digits,1,1,3,3,Q,120.758986
digits,1,1,3,1,M,113.937901
digits,1,1,3,2,M,108.055031
digits,1,1,3,3,M,121.431561
digits,1,1,3,1,H,110.987226
digits,1,1,3,2,H,109.475774
digits,1,1,3,3,H,114.766488
digits,1,1,3,1,R,107.421529
digits,1,1,3,2,R,113.692421
digits,1,1,3,3,R,113.088368
digits,1,1,4,1,I,120.065938
digits,1,1,4,2,I,119.617415
digits,1,1,4,3,I,117.090908
digits,1,1,4,1,Q,111.218572
digits,1,1,4,2,Q,108.061455
digits,1,1,4,3,Q,116.266166
digits,1,1,4,1,M,107.008478
digits,1,1,4,2,M,110.126107
digits,1,1,4,3,M,115.188058
digits,1,1,4,1,H,123.964925
digits,1,1,4,2,H,105.249817
digits,1,1,4,3,H,111.556178
digits,1,1,4,1,R,106.328469
digits,1,1,4,2,R,111.154526
digits,1,1,4,3,R,112.638538
digits,1,1,5,1,I,116.695345
digits,1,1,5,2,I,117.022254
digits,1,1,5,3,I,120.705165
digits,1,1,5,1,Q,109.540239
digits,1,1,5,2,Q,109.535667
digits,1,1,5,3,Q,105.687032
digits,1,1,5,1,M,111.17704
digits,1,1,5,2,M,122.204883
digits,1,1,5,3,M,114.186151
digits,1,1,5,1,H,105.403748
digits,1,1,5,2,H,100.610211
digits,1,1,5,3,H,114.750757
digits,1,1,5,1,R,115.790769
digits,1,1,5,2,R,112.627964
digits,1,1,5,3,R,107.445049
digits,1,1,6,1,I,117.836577
digits,1,1,6,2,I,103.63589
digits,1,1,6,3,I,118.039099
digits,1,1,6,1,Q,99.402189
digits,1,1,6,2,Q,111.711666
digits,1,1,6,3,Q,108.417862
digits,1,1,6,1,M,111.779824
digits,1,1,6,2,M,100.303107
digits,1,1,6,3,M,118.291352
digits,1,1,6,1,H,113.241228
digits,1,1,6,2,H,111.474448
digits,1,1,6,3,H,114.203409
digits,1,1,6,1,R,105.477726
digits,1,1,6,2,R,109.87708
digits,1,1,6,3,R,108.794654
digits,1,1,7,1,I,118.254692
digits,1,1,7,2,I,113.960052
digits,1,1,7,3,I,117.638526
digits,1,1,7,1,Q,109.639828
digits,1,1,7,2,Q,105.963801
digits,1,1,7,3,Q,101.592553
digits,1,1,7,1,M,107.86778
digits,1,1,7,2,M,110.206102
digits,1,1,7,3,M,108.175479
digits,1,1,7,1,H,109.984564
digits,1,1,7,2,H,106.766919
digits,1,1,7,3,H,114.85263
digits,1,1,7,1,R,112.374501
digits,1,1,7,2,R,120.45188
digits,1,1,7,3,R,106.902905
digits,1,1,8,1,I,117.38079
digits,1,1,8,2,I,120.158137
digits,1,1,8,3,I,119.36898
digits,1,1,8,1,Q,118.124702
digits,1,1,8,2,Q,119.959052
digits,1,1,8,3,Q,110.360085
digits,1,1,8,1,M,111.119171
digits,1,1,8,2,M,119.376807
digits,1,1,8,3,M,106.201979
