Scenario,Parameter,Algorithm,Samples,MeanMs,StdMs,HalfWidthMs,PowerSatisfied,ActualParameterMean
digits,1,I,8,118.430831,3.03089,2.100261,True,1.0
digits,1,Q,8,111.250277,4.079736,2.827061,True,1.0
digits,1,M,8,113.01678,2.937352,2.035444,True,1.0
digits,1,H,8,111.344865,2.046879,1.418389,True,1.0
digits,1,R,8,111.046077,1.937608,1.342669,True,1.0
digits,2,I,8,119.949035,5.551891,3.847194,True,2.0
digits,2,Q,8,110.335132,3.132507,2.170677,True,2.0
digits,2,M,8,111.156704,2.326519,1.612166,True,2.0
digits,2,H,8,109.424361,2.959452,2.050758,True,2.0
digits,2,R,8,108.639432,1.739014,1.205053,True,2.0
digits,3,I,8,120.202597,2.498539,1.731367,True,3.0
digits,3,Q,8,110.435625,3.793506,2.628717,True,3.0
digits,3,M,8,109.652755,3.187823,2.209008,True,3.0
digits,3,H,8,109.655468,2.461877,1.705963,True,3.0
digits,3,R,8,109.014187,2.083788,1.443965,True,3.0
digits,4,I,8,120.036207,2.941352,2.038215,True,4.0
digits,4,Q,8,110.527896,1.740388,1.206005,True,4.0
digits,4,M,8,109.479497,2.287594,1.585192,True,4.0
digits,4,H,8,109.980327,2.721166,1.885637,True,4.0
digits,4,R,8,112.307606,3.619864,2.508391,True,4.0
digits,5,I,8,125.505393,5.855008,4.057239,True,5.0
digits,5,Q,8,112.770999,3.175088,2.200183,True,5.0
digits,5,M,8,112.771104,4.604925,3.190992,True,5.0
digits,5,H,8,113.976996,2.645543,1.833234,True,5.0
digits,5,R,8,112.000273,6.00528,4.16137,True,5.0
digits,6,I,8,123.820643,3.520857,2.439785,True,6.0
digits,6,Q,8,115.160352,4.407033,3.053862,True,6.0
digits,6,M,8,117.077096,6.360152,4.40728,True,6.0
digits,6,H,8,114.694504,4.06937,2.819878,True,6.0
digits,6,R,8,111.856225,3.498659,2.424403,True,6.0
digits,7,I,8,123.587225,4.563489,3.162278,True,7.0
digits,7,Q,8,115.81071,3.386791,2.346884,True,7.0
digits,7,M,8,113.398323,2.260192,1.566204,True,7.0
digits,7,H,8,115.503099,5.086864,3.524952,True,7.0
digits,7,R,8,115.091074,2.028321,1.405529,True,7.0
digits,8,I,8,121.323026,3.975387,2.754752,True,8.0
digits,8,Q,8,113.745393,3.218047,2.229952,True,8.0
digits,8,M,8,114.466475,5.105027,3.537539,True,8.0
digits,8,H,8,114.352126,3.239407,2.244753,True,8.0
digits,8,R,8,113.008092,3.429548,2.376512,True,8.0
digits,9,I,8,123.602032,5.996479,4.155272,True,9.0
digits,9,Q,8,113.163947,1.987558,1.377282,True,9.0
digits,9,M,8,109.659807,2.819882,1.954043,True,9.0
digits,9,H,8,112.352712,3.211313,2.225285,True,9.0
digits,9,R,8,114.661525,4.067341,2.818472,True,9.0
duplicates,0.5,I,8,121.872224,2.698982,1.870265,True,0.5
duplicates,0.5,Q,8,113.765316,2.930542,2.030724,True,0.5
duplicates,0.5,M,8,114.420036,2.322732,1.609542,True,0.5
duplicates,0.5,H,8,111.574952,1.608783,1.11481,True,0.5
duplicates,0.5,R,8,111.456295,2.371133,1.643081,True,0.5
duplicates,0.51,I,8,120.246057,1.27006,0.880091,True,0.51
duplicates,0.51,Q,8,113.685274,4.265333,2.955671,True,0.51
duplicates,0.51,M,8,112.409742,2.534795,1.756491,True,0.51
duplicates,0.51,H,8,111.467429,2.733558,1.894224,True,0.51
duplicates,0.51,R,8,111.858714,2.040839,1.414203,True,0.51
duplicates,0.52,I,8,125.544714,4.646301,3.219663,True,0.52
duplicates,0.52,Q,8,114.825334,1.694875,1.174467,True,0.52
duplicates,0.52,M,8,114.450027,3.29228,2.281392,True,0.52
duplicates,0.52,H,8,116.586227,3.526754,2.443871,True,0.52
duplicates,0.52,R,8,113.961091,2.028656,1.405761,True,0.52
duplicates,0.53,I,12,124.985735,2.819427,1.595212,True,0.53
duplicates,0.53,Q,12,116.72813,4.831835,2.733818,True,0.53
duplicates,0.53,M,12,117.083971,4.948768,2.799977,True,0.53
duplicates,0.53,H,12,117.521093,10.083117,5.704956,True,0.53
duplicates,0.53,R,12,115.627594,3.337682,1.888437,True,0.53
duplicates,0.54,I,8,123.572307,2.878503,1.994664,True,0.54
duplicates,0.54,Q,8,113.468291,3.316872,2.298433,True,0.54
duplicates,0.54,M,8,115.285677,7.147756,4.953051,True,0.54
duplicates,0.54,H,8,112.821821,3.284669,2.276118,True,0.54
duplicates,0.54,R,8,113.626955,2.304832,1.597138,True,0.54
duplicates,0.55,I,8,121.045417,2.141931,1.484255,True,0.55
duplicates,0.55,Q,8,112.009946,2.036983,1.411531,True,0.55
duplicates,0.55,M,8,111.838553,2.818817,1.953304,True,0.55
duplicates,0.55,H,8,111.510541,1.955829,1.355296,True,0.55
duplicates,0.55,R,8,112.35661,1.601944,1.11007,True,0.55
duplicates,0.56,I,8,121.725389,3.053623,2.116014,True,0.56
duplicates,0.56,Q,8,113.608808,3.945412,2.733981,True,0.56
duplicates,0.56,M,8,112.790289,3.626436,2.512946,True,0.56
duplicates,0.56,H,8,113.442864,2.469453,1.711212,True,0.56
duplicates,0.56,R,8,111.086411,1.9726,1.366917,True,0.56
duplicates,0.57,I,8,121.965546,2.831268,1.961933,True,0.57
duplicates,0.57,Q,8,113.695718,2.745538,1.902526,True,0.57
duplicates,0.57,M,8,116.42464,4.378299,3.03395,True,0.57
duplicates,0.57,H,8,112.390292,2.792818,1.935288,True,0.57
duplicates,0.57,R,8,112.727007,3.134371,2.171968,True,0.57
duplicates,0.58,I,8,125.631836,5.262729,3.646818,True,0.58
duplicates,0.58,Q,8,115.443083,2.523943,1.748971,True,0.58
duplicates,0.58,M,8,115.424404,3.613059,2.503676,True,0.58
duplicates,0.58,H,8,116.96826,4.158236,2.881457,True,0.58
duplicates,0.58,R,8,114.080324,3.294887,2.283198,True,0.58
duplicates,0.59,I,8,126.455839,5.468805,3.789619,True,0.59
duplicates,0.59,Q,8,114.390806,2.881697,1.996877,True,0.59
duplicates,0.59,M,8,116.566822,3.943176,2.732432,True,0.59
duplicates,0.59,H,8,118.869195,7.517128,5.209008,True,0.59
duplicates,0.59,R,8,118.865429,4.816062,3.3373,True,0.59
duplicates,0.6,I,13,124.626326,6.024575,3.274936,True,0.6
duplicates,0.6,Q,13,115.21146,4.198441,2.282257,True,0.6
duplicates,0.6,M,13,114.806586,4.797531,2.60792,True,0.6
duplicates,0.6,H,13,116.080287,7.745457,4.210401,True,0.6
duplicates,0.6,R,13,116.868131,10.180702,5.534191,True,0.6
duplicates,0.61,I,8,121.100431,2.707246,1.875991,True,0.61
duplicates,0.61,Q,8,111.367666,2.553358,1.769354,True,0.61
duplicates,0.61,M,8,111.014537,2.950148,2.04431,True,0.61
duplicates,0.61,H,8,113.141809,3.699858,2.563823,True,0.61
duplicates,0.61,R,8,112.263941,2.659856,1.843153,True,0.61
duplicates,0.62,I,8,122.641259,2.835339,1.964754,True,0.62
